	userid	items_recommended
483	241	14,1449,867,1599,119,483,408,1398,1122,1643
484	495	607,1431,1650,1651,1636,1645,1293,701,169,1019
485	717	642,1449,1358,1233,1398,963,1599,947,1645,1636
486	757	467,1607,1347,114,169,50,64,613,12,1449
487	8	347,1467,1142,50,119,114,814,1449,357,1143
488	449	524,1282,1240,1405,1643,1449,1639,889,60,543
489	161	607,1639,817,1240,1282,1175,344,850,889,902
490	555	642,1636,1645,1650,1651,1398,1449,1131,867,1122
491	687	4,1449,318,1467,1233,1607,272,12,316,357
492	922	14,50,1347,867,408,1169,174,169,1278,1122
493	23	643,814,1449,867,851,119,641,1398,408,1599
494	39	368,1268,1347,114,1397,641,1500,1467,169,50
495	679	449,1467,1607,169,114,867,119,12,1122,64
496	719	233,1358,626,1599,318,1064,496,1327,1449,113
497	380	449,1358,357,1282,318,64,119,1398,113,272
498	520	233,1512,1358,543,1327,947,1599,1449,887,626
499	791	278,814,867,1169,1122,1398,626,1636,1645,1650
500	672	639,1642,1175,1607,889,1449,1650,1636,1645,1651
501	176	639,1240,889,1524,1175,1282,1642,1449,320,1651
502	736	240,1524,1282,899,320,889,1639,1005,56,1175
503	49	524,1405,1643,60,1558,889,1449,1240,851,896
504	629	14,1233,1449,318,867,119,1122,64,483,50
505	162	607,1233,1612,1467,1293,64,1431,313,850,318
506	514	449,814,867,318,1122,64,119,1398,1233,483
507	7	449,867,814,1398,1122,1645,1651,1650,1636,119
508	637	233,626,313,496,318,1358,22,1594,1064,272
509	877	449,1398,1642,1636,1645,1651,1650,867,1122,814
510	549	347,1233,1467,64,318,50,313,174,272,12
511	130	607,1233,1467,1612,64,1293,313,318,272,850
512	244	282,1449,1639,1642,1240,889,1398,1358,1607,1650
513	624	449,1398,1642,1282,1636,1645,1651,1650,867,1122
514	446	233,1599,626,814,1449,1398,1064,867,1642,1194
515	238	642,1639,1175,1449,344,1636,1650,1651,1645,1358
516	648	278,1347,1169,50,1269,1500,641,169,174,814
517	720	642,1639,1449,1175,1398,1645,1636,1650,1651,1131
518	453	467,1282,1607,1589,899,12,357,1449,850,56
519	84	449,814,1233,867,1599,1398,1122,318,1064,626
520	136	643,1449,1398,1642,1405,867,1193,851,1651,1650
521	856	233,1358,318,64,272,1449,313,113,316,1064
522	691	449,1642,1398,1599,1358,814,867,1643,1645,1636
523	314	233,1612,1294,1607,313,22,1516,272,1594,1235
524	664	14,1449,1643,119,867,408,1398,483,641,169
525	824	17,1607,1175,1639,1240,889,1431,902,1005,344
526	247	14,1449,867,1599,1398,1643,1122,119,1645,1651
527	627	449,867,169,1651,1645,1650,1636,1122,814,1398
528	728	449,1358,318,64,1233,272,1398,357,119,113
529	565	449,1636,1645,1650,1651,1398,1642,867,1122,1062
530	87	233,1347,174,50,313,318,1269,814,64,22
531	649	607,1467,1347,169,114,50,1169,64,174,701
532	171	14,1449,867,1599,119,1398,1643,408,1122,483
533	273	449,1651,1645,1650,1636,1642,1398,1524,1282,889
534	343	449,1643,867,814,1398,119,1636,1651,1650,1645
535	443	233,1347,313,22,318,174,64,1467,272,1594
536	434	233,1612,1607,817,1294,776,272,313,1293,64
537	585	643,868,1512,1599,851,863,793,1099,1193,1449
538	439	14,1449,867,1599,1398,1643,1122,119,1650,1636
539	51	347,1467,1589,50,613,172,174,1473,114,1607
540	331	639,344,1642,1175,1282,1358,1449,1240,947,889
541	194	449,357,1282,64,12,119,1467,318,1358,127
542	794	449,1643,119,1398,867,814,1405,1524,1282,1651
543	465	449,867,119,814,169,114,1122,1467,1398,408
544	277	449,1358,1642,1639,1233,1282,272,318,1398,64
545	428	67,1449,1645,1650,1651,1636,1398,814,1122,1642
546	391	449,1282,1643,1398,1642,119,1358,357,867,814
547	821	233,814,318,1599,626,1064,496,1358,1449,313
548	532	347,1233,1467,50,64,1607,318,174,313,613
549	706	233,1347,313,1467,174,22,1269,1607,50,1612
550	438	233,313,1347,22,318,64,1467,174,272,1607
551	166	278,1483,1443,1605,1169,1389,1429,1500,1491,1104
552	467	368,1449,114,169,119,867,408,814,1524,1398
553	448	51,1643,1536,1368,1367,1104,1558,1405,1203,1524
554	928	159,793,1131,1298,1636,1645,1651,1650,1642,1585
555	69	449,119,357,1467,1282,1143,1142,12,114,127
556	129	643,1512,814,1599,1449,1558,851,868,718,1405
557	400	69,867,114,814,1449,1368,408,1122,1169,119
558	543	449,867,1398,814,1651,1636,1645,1650,1122,1642
559	97	368,1268,1467,114,1347,169,1607,1019,50,1169
560	661	347,50,814,1467,174,408,114,172,119,1449
561	533	233,814,626,318,496,1599,1064,313,867,1449
562	693	449,1282,1642,1639,1358,1607,1398,64,272,344
563	524	642,1175,1131,1639,1651,1645,1636,1650,1449,889
564	312	14,1449,1599,867,1398,1643,1122,119,1645,1651
565	234	14,1643,1599,1449,867,851,119,1398,408,483
566	264	14,867,169,114,408,1449,119,641,50,1347
567	239	643,1405,1558,851,1524,1536,1449,1367,60,1499
568	389	643,814,1449,867,851,119,1398,1599,408,1122
569	869	368,1143,1268,1589,899,114,1467,1347,1397,1388
570	63	449,1651,1645,1636,1650,1642,1398,1524,1062,889
571	635	449,1398,1642,1636,1651,1645,1650,867,1122,119
572	885	233,318,313,64,272,22,1347,1358,113,496
573	403	233,626,1192,1278,318,1064,313,1122,1160,496
574	395	14,867,1599,1449,408,119,1643,641,483,1398
575	779	607,1431,701,1233,1293,1169,1467,1612,115,1019
576	907	233,1607,318,1293,1431,626,1636,1650,1651,1645
577	459	233,1278,1192,1605,1269,174,1169,313,1347,1607
578	509	347,1467,1589,1397,1143,1368,114,1268,50,954
579	10	449,867,1398,1122,814,1636,1645,1651,1650,318
580	361	643,814,1449,1599,851,867,119,1558,1405,1398
581	102	14,1449,867,1122,318,1233,169,1398,119,64
582	814	607,1651,1650,1645,1636,1431,1642,1449,850,1293
583	77	368,114,169,1449,1467,119,867,408,1143,641
584	848	14,1449,867,1599,1398,1122,119,408,483,318
585	589	233,1192,313,626,966,1294,1152,22,394,1443
586	658	449,1282,64,357,12,318,119,1398,1358,272
587	50	524,1240,320,889,1175,1005,1639,899,1282,1077
588	750	347,1467,50,64,318,174,357,1449,814,1473
589	771	278,793,1159,1598,1298,1394,1104,626,1131,814
590	518	233,318,313,64,1449,174,1122,272,1607,814
591	293	643,1449,814,119,867,1142,483,357,1599,1398
592	404	233,1612,313,1607,1294,22,1347,1516,1467,1594
593	267	449,119,169,867,114,1467,12,1398,1122,1282
594	527	449,814,867,119,1643,1398,408,169,1122,483
595	817	467,1347,1607,1589,1612,613,64,12,313,50
596	793	467,1607,1347,114,169,50,1589,12,64,1449
597	45	14,867,1449,1599,1398,1122,408,119,483,1064
598	938	347,1467,1607,1589,50,613,1612,174,64,313
599	569	449,814,1599,867,119,1398,318,483,1358,1122
600	769	233,814,1449,1599,318,867,1398,1064,1358,1122
601	812	17,1607,1612,776,1233,914,1293,1431,1294,1467
602	216	282,1449,357,12,1607,64,1467,1358,850,272
603	759	233,313,1347,22,1294,174,1516,1594,1269,966
604	320	607,1467,1612,850,899,1293,817,1589,613,64
605	261	159,1431,1131,1022,1394,962,1636,1651,1650,1645
606	38	233,1294,1612,313,22,1516,1235,1607,1594,69
607	418	347,1589,1467,899,1143,50,114,172,1268,954
608	510	233,313,496,318,626,22,174,1594,1347,1189
609	181	233,1612,1607,313,1294,22,272,318,1594,64
610	82	14,1449,1599,1233,318,483,119,867,1358,1064
611	364	233,1449,318,1358,1642,64,1398,272,1122,1064
612	249	449,1642,1282,1636,1651,1645,1650,1398,1524,889
613	703	347,1233,1467,174,50,313,64,22,1473,318
614	394	449,867,1122,318,814,64,119,1398,1467,169
615	576	233,313,318,22,496,174,1594,626,1347,64
616	167	643,1512,1599,1449,868,814,543,1558,851,1099
617	288	358,1449,1233,1642,543,947,318,1398,113,1599
618	80	449,1358,1233,814,318,1398,1599,867,119,1064
619	240	358,543,1449,1642,947,1639,1512,344,1282,1398
620	356	607,1467,169,1169,701,114,1122,1651,1636,1650
621	289	347,1233,1467,1607,313,174,1612,50,22,1269
622	889	467,1607,1449,12,64,1347,1589,114,357,613
623	591	449,1642,1398,1358,543,1639,1282,1650,1645,1651
624	73	643,1405,1524,1449,1558,119,1282,1367,1536,1388
625	763	449,867,1398,814,1651,1650,1636,1645,119,1122
626	25	14,1449,867,1122,318,169,119,50,1398,408
627	245	233,817,1607,1612,1294,776,1431,914,1293,1664
628	816	233,1347,174,50,1269,1169,1467,1607,313,701
629	427	431,817,1131,1607,1175,962,776,1159,904,1275
630	113	431,1159,1019,701,1607,1278,1131,1169,1368,1651
631	895	449,1398,1282,119,867,1642,814,357,1358,1122
632	237	449,867,814,1122,1398,1645,1636,1650,1651,169
633	645	643,1449,1405,814,119,867,1398,1524,1558,851
634	795	449,867,814,1398,1636,1651,1645,1650,1122,169
635	160	282,1449,1524,56,320,1388,899,12,1467,357
636	893	607,1467,1233,64,1347,318,313,272,12,613
637	24	449,1282,1607,12,64,1467,357,850,272,1358
638	818	14,641,1347,408,114,50,867,169,119,1449
639	70	347,814,50,1449,318,174,1467,64,119,867
640	921	233,1278,1192,1605,1443,1269,174,626,966,1169
641	408	368,1524,1449,1651,1645,1650,1636,1062,320,867
642	730	14,1347,50,408,641,114,169,867,119,172
643	121	14,1449,1599,119,1643,483,867,408,603,318
644	62	14,1449,867,119,408,641,1643,169,1398,114
645	125	233,1347,174,1269,313,50,22,1467,1473,172
646	396	278,1233,1605,1169,1192,701,1431,1443,1607,1269
647	480	14,1643,1449,867,1599,119,1398,408,851,483
648	351	233,1192,626,1431,1278,318,1160,1293,1607,1664
649	156	643,814,851,641,1558,1449,867,1367,1405,119
650	143	368,1268,1500,114,169,1019,1169,701,1347,641
651	697	449,64,318,357,1358,119,12,272,1282,814
652	219	524,1643,1405,60,851,1558,1449,889,1585,1062
653	740	14,1599,1449,867,1233,318,483,119,1064,1398
654	411	14,1347,1449,50,867,318,119,408,483,174
655	482	233,1278,1192,626,1169,1122,867,318,1431,814
656	95	233,1347,814,318,50,174,64,1449,313,483
657	477	233,1431,1645,1650,1636,1651,1642,1398,1122,1449
658	390	278,1233,626,814,1192,867,1599,945,1160,1169
659	651	347,1467,1449,50,119,814,114,357,408,12
660	741	449,814,119,318,1599,483,1358,357,867,64
661	226	449,1607,1645,1650,1651,1636,1122,867,1398,169
662	29	449,1642,1398,1650,1645,1651,1636,1639,889,1282
663	789	368,1143,114,1268,1388,1467,169,1589,320,1449
664	464	449,1642,1398,1645,1636,1651,1650,1122,867,318
665	526	449,814,119,1643,867,1142,357,483,408,603
666	528	347,1467,1589,50,1607,114,613,12,172,64
667	558	282,1449,1240,56,357,1524,12,1103,127,1388
668	710	449,1398,814,867,1643,119,1636,1650,1651,1645
669	21	449,1142,357,1143,119,1467,1282,1589,12,127
670	653	347,1467,50,174,172,114,1589,613,1473,1269
671	214	449,1524,867,1398,1651,1636,1650,1645,119,1368
672	550	347,1467,50,174,1607,1233,313,613,1269,1589
673	323	467,64,1449,12,357,1607,1282,1347,318,1589
674	941	347,814,50,1449,867,318,1467,119,174,408
675	352	233,1607,64,1467,272,318,313,316,1612,12
676	492	142,357,1449,119,1282,1143,127,12,1141,1347
677	335	17,1175,1431,1131,1639,1607,904,1137,776,962
678	866	643,814,1599,1449,867,1398,868,1512,851,1064
679	338	643,851,1558,1405,1449,793,1193,1398,868,1512
680	798	278,1233,1431,1192,1605,1607,701,1169,1664,394
681	911	449,867,1636,1645,1650,1651,1398,1122,814,169
682	933	449,1643,1282,119,357,1398,127,814,867,1524
683	714	607,1612,1431,1293,1467,817,1019,701,115,850
684	195	449,1233,318,64,1358,272,12,113,1607,1398
685	256	233,1607,1431,1293,1636,1650,1645,1651,1642,1122
686	98	43,1639,947,1642,1512,344,1358,1175,1193,1449
687	678	607,899,1467,1612,1589,850,817,12,613,64
688	490	368,1367,1536,1524,1056,641,1629,1397,179,1268
689	345	449,1398,1358,814,119,318,867,64,357,483
690	595	449,1282,1639,1642,1240,1524,1643,1398,889,543
691	287	607,1467,850,1282,899,1449,12,320,1650,1645
692	790	607,64,1467,1449,1233,318,272,12,316,850
693	752	99,1607,1275,320,1368,817,1019,1268,850,1431
694	767	449,814,867,1398,1643,1645,1636,1651,1650,1599
695	828	639,1240,1175,889,1282,344,1524,753,1642,1005
696	863	467,1589,899,1347,1607,12,357,1282,613,64
697	809	642,1639,1175,344,1449,1358,947,1137,963,1131
698	60	449,867,814,1398,1122,1636,1650,1651,1645,119
699	90	14,1449,867,1599,119,1398,1643,483,408,1122
700	371	233,1347,318,313,64,174,1467,50,22,272
701	32	467,1449,12,1282,1607,1589,357,64,114,119
702	622	449,1467,1607,12,119,114,1282,169,867,357
703	630	233,1607,817,1431,1612,776,1293,1294,1664,914
704	621	607,1467,1347,1589,114,850,12,169,64,613
705	382	159,1656,1368,1245,1022,1131,1585,1524,884,1431
706	75	240,1282,1524,320,889,899,1639,1607,1449,850
707	786	233,814,1449,867,318,1599,1122,1064,1398,626
708	469	14,1449,1643,1599,867,1398,119,483,1122,1064
709	640	69,114,867,814,1449,1368,408,1467,1122,1169
710	221	607,899,850,320,1282,1467,1449,1368,1645,1651
711	662	643,1405,1142,1449,1558,1282,1512,119,1524,644
712	782	607,1431,1233,1293,1612,1636,1650,1645,1651,1664
713	203	368,1169,169,701,867,1019,1607,114,1645,1650
714	265	607,1612,1467,817,1233,1293,850,64,313,613
715	835	449,1398,867,814,1642,1650,1645,1636,1651,1122
716	457	449,814,867,119,318,1122,1398,64,169,483
717	141	233,1294,313,1612,22,1516,1594,1235,1152,966
718	151	449,814,1599,119,1358,318,483,867,1398,1643
719	341	14,1278,867,1599,851,1398,1122,1449,863,1104
720	712	233,1192,1278,1605,1443,626,394,966,1160,313
721	433	449,1282,357,12,119,1142,127,56,1467,64
722	414	449,1467,357,1282,12,1589,119,114,127,56
723	724	347,1467,50,1589,174,1473,172,1269,613,954
724	608	639,344,1642,1175,947,1358,543,1449,889,1137
725	859	175,1639,817,1431,1607,1642,1131,889,1137,344
726	899	233,814,318,1599,496,1064,1449,626,1358,313
727	751	14,1449,867,119,408,1122,1398,483,169,1599
728	801	607,1467,1612,1347,1589,64,613,1233,313,272
729	592	449,357,1142,1282,119,12,1467,127,1143,1589
730	943	99,1607,1467,1612,1589,817,850,1347,42,613
731	334	449,1398,867,1643,814,119,1636,1651,1650,1645
732	200	233,1607,1467,318,64,1169,1122,169,174,313
733	680	449,814,867,119,1398,1122,483,1645,1636,1650
734	272	449,357,119,1282,12,1467,127,64,1142,814
735	145	347,1467,1589,114,50,1607,172,613,169,174
736	515	431,1019,1159,1368,701,1607,1656,1278,1131,1169
737	735	233,1358,1449,318,64,272,113,316,357,313
738	376	449,814,867,119,1398,1122,483,1599,408,318
739	488	233,1347,174,1467,313,50,1269,22,318,1607
740	940	467,1607,64,1233,318,1449,1347,50,12,313
741	254	233,1347,174,313,1269,496,626,50,318,22
742	56	607,1467,1347,1233,50,64,174,318,313,613
743	487	233,1467,1347,1607,64,318,313,272,613,12
744	378	449,814,867,1599,1398,1233,318,1122,119,1064
745	109	233,1347,1467,174,313,1607,1269,50,22,1612
746	639	599,814,1449,1643,867,1398,1358,1064,1512,483
747	213	449,1607,64,1467,1122,1398,12,867,318,1650
748	534	431,1607,1019,1368,701,1268,1275,1159,1293,1169
749	655	449,1651,1645,1636,1650,1398,1642,867,1122,1062
750	228	233,313,626,496,22,1594,318,1516,1189,1294
751	478	449,1358,357,814,119,318,1599,483,427,1643
752	303	449,357,119,1282,12,127,814,483,64,867
753	574	642,1449,1398,1639,1650,1636,1645,1651,1358,1131
754	426	14,1643,867,851,1449,1599,641,119,408,1398
755	718	233,1278,1192,1605,1443,1269,626,174,1169,966
756	749	233,1347,318,174,50,814,313,64,867,1467
757	170	233,1278,626,1192,814,1160,1599,867,1064,945
758	702	347,50,174,1269,1233,172,1473,1467,181,313
759	354	643,1449,851,1398,1405,1558,1642,867,814,1193
760	807	233,1278,1192,1169,626,1122,867,318,814,701
761	708	233,1347,313,22,174,318,64,496,1594,50
762	611	607,899,817,1612,850,1282,1240,1467,902,1293
763	612	233,626,318,1064,814,496,1599,1192,313,1449
764	783	650,1645,1651,1636,1159,867,1368,1398,1131,1169
765	304	347,1233,174,1269,50,1467,313,172,22,181
766	536	233,814,1347,50,174,318,867,1269,313,1169
767	668	607,1467,850,1293,1612,1449,169,1645,1636,1650
768	370	449,814,1599,867,1398,1643,1122,119,1064,483
769	753	233,318,313,496,1347,64,1358,22,174,272
770	913	14,1449,119,1347,357,483,1142,408,50,867
771	105	14,1347,1449,1142,119,357,483,50,408,178
772	865	524,1405,1643,60,1558,1536,320,889,851,1240
773	298	14,1233,1347,50,318,867,174,1449,408,1122
774	726	278,1104,1598,851,793,1159,1203,814,1298,867
775	837	599,868,863,626,814,793,1643,1398,1233,1512
776	58	99,1467,1607,1282,1589,12,56,850,320,1449
777	188	233,1607,1642,1449,318,1650,1645,1636,1651,1293
778	11	449,1398,867,1636,1645,1651,1650,1642,814,1122
779	421	467,1607,1347,1589,64,12,613,357,1612,272
780	781	41,1397,1367,1368,814,408,1056,114,1347,1500
781	872	233,1192,313,394,1294,1605,1607,966,1664,626
782	33	607,1467,1293,1612,850,64,1431,1650,1645,1651
783	204	643,851,1558,1405,793,1193,1512,1099,1585,1524
784	575	347,1589,1467,50,1143,954,1142,1141,172,1473
785	888	449,814,1398,867,318,1122,119,1599,1233,1358
786	110	233,1607,313,318,272,1612,64,626,22,1293
787	150	282,1449,1607,850,12,1467,1240,357,56,64
788	541	233,814,867,318,50,174,1347,1122,1449,408
789	83	233,1347,174,313,1269,626,496,318,22,50
790	413	14,1599,867,1449,1398,626,1064,1643,1233,1122
791	825	278,1169,701,1605,1431,1607,1192,115,1233,169
792	508	643,1449,814,867,1398,119,1599,851,483,1405
793	369	607,1467,1612,1233,64,1293,850,318,313,613
794	260	278,1104,1598,1429,1159,1483,668,1413,362,1491
795	71	449,1524,1282,1642,889,1240,1639,1398,1645,1650
796	106	233,814,1599,1449,1064,318,867,1398,1358,626
797	567	524,1643,1405,851,1368,1585,1062,1449,60,1651
798	68	643,1142,814,1449,1405,119,1558,644,851,1141
799	561	643,1449,1405,1524,1558,1398,851,60,119,867
800	525	449,1467,64,1282,12,357,1607,318,119,272
801	910	347,1449,357,318,64,814,119,483,50,178
802	116	449,867,119,1398,814,1122,1645,1650,1651,1636
803	147	642,1639,543,947,1449,1175,344,1358,1193,1398
804	600	449,814,867,1398,119,1122,1645,1651,1650,1636
805	14	14,867,1449,641,169,408,1122,1398,119,1368
806	805	368,1524,320,1449,179,1062,1645,1650,1651,1636
807	546	368,1268,1019,1656,1607,1431,701,1275,1022,1159
808	317	607,1612,1467,817,850,1293,64,899,272,12
809	198	14,1449,119,1347,408,1142,50,867,483,114
810	638	607,1467,1347,1612,613,1589,50,174,64,313
811	344	449,814,867,119,1643,1398,408,1122,483,1599
812	424	93,851,1598,868,863,1104,1643,1558,964,799
813	657	43,1639,947,1642,1358,1449,1512,344,1193,1175
814	349	642,1449,1639,1398,1193,1175,889,543,1643,1651
815	342	643,1368,1367,641,1449,814,1536,867,1524,1405
816	832	233,1607,318,313,64,1467,174,1347,22,272
817	123	643,1449,1405,1512,1558,851,1398,543,1193,814
818	373	233,1607,1122,318,1449,1636,1645,1651,1650,867
819	454	233,313,318,174,1347,22,1594,64,496,50
820	379	449,814,119,867,483,408,1398,1643,1599,603
821	270	642,1650,1645,1636,1651,1131,1449,1607,1175,1431
822	690	233,1607,1467,1612,1347,313,64,272,22,318
823	242	233,1358,318,272,113,1642,64,1449,626,316
824	284	449,1642,1398,1645,1636,1650,1651,1639,867,1282
825	158	449,867,814,1398,1122,119,1645,1651,1636,1650
826	199	643,1512,1449,543,644,814,1599,1405,1358,119
827	522	143,1142,1589,1388,56,357,1449,1282,119,1467
828	902	347,814,50,174,408,867,172,1473,169,114
829	135	449,1398,867,119,814,1122,1650,1645,1651,1636
830	248	99,1589,1467,1607,1347,1268,156,1495,42,1143
831	499	449,1642,1358,1639,1282,1398,344,963,1636,1650
832	42	233,1347,174,1269,50,313,318,22,496,814
833	466	607,817,1612,899,1467,850,1293,1589,1282,12
834	506	347,1233,50,174,318,313,814,1473,1467,64
835	566	449,1642,1398,1643,1282,1636,1645,1650,1651,1639
836	337	233,313,318,174,1347,496,626,814,50,22
837	119	14,867,1398,1449,1122,1645,1636,1651,1650,1278
838	909	14,867,1398,1122,1449,1599,1278,1645,1650,1651
839	201	368,1449,867,1636,1650,1651,1645,1398,1524,1062
840	2	14,1449,867,1599,1398,119,1122,408,483,1643
841	892	14,1449,867,119,408,169,50,1122,114,1347
842	803	639,1449,1282,1524,1240,889,1643,1642,543,1405
843	765	512,1643,543,1405,1628,1193,1524,1449,1558,1639
844	778	99,1268,1368,1589,1467,1495,1607,114,320,1347
845	79	93,1159,1131,1642,1585,1645,1651,1650,1636,1398
846	131	358,1449,1233,318,1599,814,427,64,113,1064
847	276	449,1467,114,119,12,169,357,1347,1589,867
848	149	449,1643,119,814,357,867,483,1398,127,1282
849	820	282,357,1467,1449,1589,12,56,1142,1143,119
850	773	643,851,1367,641,814,1558,1536,1405,1449,1203
851	365	282,1639,1240,1449,1642,889,1358,344,1524,1607
852	294	607,1467,850,12,1449,64,1282,1589,899,114
853	905	467,64,1449,12,357,318,1607,272,1347,1282
854	357	233,1607,1467,64,313,318,1612,1293,1347,174
855	529	607,1233,1293,1612,1431,1467,64,318,313,1122
856	722	449,1398,867,1650,1645,1636,1651,1122,1642,814
857	573	449,1398,1643,1642,867,119,814,1650,1645,1651
858	118	368,320,169,1449,114,1607,1268,1524,1636,1651
859	281	233,1639,344,1607,1642,817,1358,1175,272,1612
860	571	643,814,1449,1599,867,1398,851,119,483,1122
861	124	99,320,1368,1524,1607,1275,1268,1077,1240,1128
862	30	449,1642,1398,1636,1645,1651,1650,1122,867,1607
863	942	233,814,318,867,1122,626,1449,1398,1064,1169
864	99	467,1607,1589,899,1347,12,1612,613,64,850
865	901	233,313,1347,1269,174,1192,22,966,626,1594
866	302	175,1639,889,1240,1524,1642,1282,320,1005,1449
867	652	233,626,1192,1278,1064,1599,814,496,318,1160
868	313	449,814,867,119,169,1122,408,114,50,1398
869	184	449,1398,1643,1642,814,867,1599,1645,1651,1650
870	815	233,1347,318,64,1467,313,50,174,22,1473
871	700	347,1233,50,174,1473,318,313,814,1467,172
872	682	607,1467,1612,850,64,1293,12,613,1589,272
873	405	347,1233,1467,174,50,313,1269,1473,172,22
874	915	14,1599,867,1449,1233,1122,1398,408,1064,483
875	66	607,1467,1612,1233,1347,313,1293,64,613,174
876	557	642,1131,1645,1651,1650,1636,1175,1398,793,1431
877	282	99,1467,1607,1589,1282,12,850,56,156,357
878	802	368,701,1169,1278,1019,1431,169,115,1607,1268
879	275	14,867,1169,1233,169,50,1122,174,318,1347
880	605	449,814,867,1398,119,1122,483,1599,318,603
881	46	449,1642,1398,1639,1636,1645,1650,1651,1358,1282
882	186	233,1358,626,318,272,313,1607,64,113,1642
883	67	431,817,1131,1175,1607,1642,1639,1137,1645,1651
884	311	233,814,867,1449,318,1122,1398,626,1645,1650
885	873	233,1347,313,174,22,1467,1269,50,1607,1612
886	894	449,1642,1398,1645,1636,1650,1651,1639,867,1282
887	535	449,867,1398,1645,1650,1636,1651,814,1122,1642
888	681	233,1358,626,1599,1064,318,1327,496,947,113
889	632	347,50,174,814,1473,172,1467,318,408,1233
890	616	14,1449,867,1398,1122,1599,318,119,1233,483
891	628	431,817,1131,1607,1175,776,1159,1293,1137,962
892	410	233,1358,318,272,64,113,1449,313,316,1607
893	174	233,1358,947,1642,543,1639,344,1449,963,1398
894	215	14,867,408,169,1449,114,641,119,1122,50
895	172	14,867,408,50,1347,1449,119,1599,483,169
896	562	233,626,1358,318,496,1064,1599,313,814,1449
897	864	467,1347,50,114,1449,1607,169,64,318,12
898	716	233,1449,1358,318,814,1599,64,1064,1398,483
899	551	607,1612,1467,1233,64,272,817,850,1293,316
900	252	449,1282,357,1358,64,119,12,318,1398,127
901	399	431,1636,1650,1651,1645,1131,1398,1122,867,1642
902	420	642,1449,1398,793,1636,1651,1645,1650,1131,1193
903	851	467,1607,1449,12,64,1347,114,1589,169,850
904	153	639,1175,1240,344,889,753,1005,1282,1296,1524
905	144	449,814,1233,318,867,1599,119,1398,1122,483
906	705	233,1607,1192,1431,394,1294,1612,1664,1293,1605
907	785	607,1233,1467,318,64,1449,1122,50,169,867
908	670	14,1347,50,174,408,867,169,1169,172,114
909	745	607,1431,1645,1651,1650,1636,1019,1131,850,1293
910	927	233,1607,1612,313,1294,1293,1467,22,1664,1192
911	475	607,899,817,850,320,1612,1275,902,1240,1293
912	18	449,1398,814,1643,1599,1642,867,1358,119,1122
913	74	607,1233,64,1449,272,1467,318,1612,850,316
914	934	14,867,1449,1398,1122,1636,1645,1651,1650,1599
915	755	233,313,318,496,626,22,1594,174,64,1347
916	138	449,867,1398,1645,1650,1651,1636,1122,169,814
917	180	639,889,1175,1524,1642,1240,1449,1282,60,1405
918	932	643,814,1449,867,119,1599,408,851,1398,483
919	483	278,814,867,1169,626,1599,945,1192,1122,1398
920	643	449,867,119,1398,169,814,1122,1651,1636,1650
921	104	347,50,1142,1473,814,1467,172,174,1141,408
922	656	643,1405,1524,851,1558,1536,60,1585,1367,1368
923	917	512,543,1449,1642,1643,1193,947,1099,1398,1599
924	468	449,814,119,867,1398,483,357,1122,318,603
925	841	233,1607,313,64,1467,318,1612,272,22,1347
926	134	233,1347,1269,174,313,22,1192,50,966,496
927	584	607,1467,1612,1293,1347,1019,115,701,850,114
928	878	14,1599,1449,1643,867,119,483,1398,318,1064
929	521	607,1467,850,1449,114,169,12,64,1589,1368
930	407	449,1467,119,867,64,169,114,814,12,1122
931	788	233,1449,318,814,64,1358,1064,867,1599,1122
932	701	14,1449,867,1599,119,1398,1643,483,1122,408
933	617	51,1104,793,1159,1643,1558,1203,74,1598,1245
934	393	233,1278,1192,1607,1431,1169,1605,701,1664,1293
935	315	449,1643,1405,1398,1282,1642,119,1524,867,814
936	36	656,1159,1368,1022,1245,884,1491,1429,1278,1431
937	187	449,814,867,119,1398,1122,483,318,1599,408
938	208	233,1599,626,814,1064,318,1449,1358,496,867
939	401	233,1358,626,318,1064,113,947,1449,272,1599
940	422	282,1449,357,12,1607,1240,119,56,64,850
941	517	368,641,1500,814,1169,1278,867,169,408,189
942	89	607,1636,1645,1650,1651,1449,169,850,1122,867
